text,expected,predicted,latency_sec
am i allowed to increase my credit limit to $1000,credit_limit_change,credit_limit_change,0.408
i need my credit limit changed,credit_limit_change,credit_limit_change,0.344
i want to increase my credit limit to 5000 dollars,credit_limit_change,credit_limit_change,0.381
tell me how to increase credit limit for chase card,credit_limit_change,credit_limit_change,0.369
can i increase the credit limit on my capital one card,credit_limit_change,credit_limit_change,3.487
can i increase the credit limit on my kohls card,credit_limit_change,credit_limit_change,0.331
how do i get my credit limit increased to $1000,credit_limit_change,credit_limit_change,3.593
could my credit be increased to 5000 dollars,credit_limit_change,credit_limit_change,0.38
is there a way to increase the credit limit on my american express card,credit_limit_change,credit_limit_change,0.382
what do i do to change my credit limit,credit_limit_change,credit_limit_change,3.567
can my credit limit be increased to $1000,credit_limit_change,credit_limit_change,0.361
can i increase my credit limit,credit_limit_change,credit_limit_change,0.365
can you increase my credit limit to one thousand dollars,credit_limit_change,credit_limit_change,0.346
can i increase the credit limit on my mastercard,credit_limit_change,credit_limit_change,0.344
may i have a higher limit on my mastercard,credit_limit_change,credit_limit_change,0.338
can my credit limit be increased to one thousand dollars,credit_limit_change,credit_limit_change,1.215
need to increase credit limit for chase card,credit_limit_change,credit_limit_change,0.349
is there a way to increase the limit on my visa card,credit_limit_change,credit_limit_change,0.47
can i increase the credit limit for my wells fargo credit card,credit_limit_change,credit_limit_change,0.345
please change credit,credit_limit_change,credit_limit_change,0.345
can i increase the credit limit on my target card,credit_limit_change,credit_limit_change,0.348
"i want to increase my credit limit to $1000, if possible",credit_limit_change,credit_limit_change,0.874
my credit limit needs to me changed,credit_limit_change,credit_limit_change,0.358
help me change my credit limit,credit_limit_change,credit_limit_change,0.364
"can i get my credit limit increased to $15,000",credit_limit_change,credit_limit_change,0.32
can you help me find my credit score,credit_score,credit_score,0.331
look up my fico credit score,credit_score,credit_score,0.354
please look up my credit score,credit_score,credit_score,0.384
let me know what my credit score is,credit_score,credit_score,0.345
tell me my credit raing,credit_score,credit_score,0.341
what is my credit score number,credit_score,credit_score,0.348
i'd like the number for my credit score,credit_score,credit_score,0.342
can i see my credit score,credit_score,credit_score,0.374
where's my credit score,credit_score,credit_score,0.349
i want my credit score,credit_score,credit_score,0.335
provide me with my credit score,credit_score,credit_score,0.359
i'd like you to check on my credit score,credit_score,credit_score,0.349
what's my current credit rating,credit_score,credit_score,0.338
could you tell me what my credit score is,credit_score,credit_score,0.343
would you tell me my credit score,credit_score,credit_score,0.321
can you check my credit score for me,credit_score,credit_score,0.335
how is my credit looking,credit_score,credit_score,0.353
can you tell me my credit score,credit_score,credit_score,0.358
can you check my credit score,credit_score,credit_score,0.755
can you find what my credit score is,credit_score,credit_score,0.357
give me my credit score,credit_score,credit_score,0.353
what kind of credit score do i have,credit_score,credit_score,0.363
i need my credit score,credit_score,credit_score,0.334
how high is my credit score,credit_score,credit_score,0.332
do you know my credit rating number,credit_score,credit_score,0.327
how do i find out what my credit score is,credit_score,credit_score,0.334
tell me my credit score please,credit_score,credit_score,0.43
how do i find my credit score,credit_score,credit_score,0.339
get my credit score,credit_score,credit_score,0.342
where is my credit score located,credit_score,credit_score,0.332
what is my current location that you see right now,current_location,current_location,7.811
how can i go about finding my location right now,current_location,current_location,0.332
display my location on a map,current_location,current_location,3.546
"where am i right now, location wise",current_location,current_location,3.49
can you tell me where i am,current_location,current_location,3.342
what is this place,current_location,current_location,0.327
can you tell me my location,current_location,current_location,2.093
whats my location,current_location,current_location,0.76
list my current gps coordinates,current_location,current_location,0.327
please show me where i am on a map,current_location,current_location,0.329
what could help me locate myself,current_location,current_location,0.324
what are the gps coordinates of this spot i am at right now,current_location,current_location,0.523
please tell me the address of my current location,current_location,current_location,0.428
at this location what are my gps coordinates,current_location,current_location,0.336
what are my gps coordinates right now,current_location,current_location,0.334
where am i currently located,current_location,current_location,0.356
you need all five answers,current_location,roll_dice,0.384
please tell me my location using gps,current_location,current_location,0.36
please tell me my current location,current_location,current_location,0.345
my current location is what,current_location,current_location,0.347
what's the location where i am,current_location,current_location,0.407
where is my current location,current_location,current_location,0.333
how shall i find my current location,current_location,current_location,0.437
i do not know where i am,current_location,current_location,0.334
where exactly am i at the moment,current_location,current_location,0.724
give me my location,current_location,current_location,0.36
show me my location,current_location,current_location,0.357
pull up the map and show my location,current_location,current_location,0.36
can you find the exact address for where i am currently,current_location,current_location,0.386
where am i on gps,current_location,current_location,0.507
my card is unusable because it's damaged,damaged_card,damaged_card,0.352
report that the card has been wrecked,damaged_card,report_lost_card,0.362
what should i do with an unusable and damaged card,damaged_card,damaged_card,0.328
i broke my card trying to do a magic trick,damaged_card,damaged_card,0.33
"my card split in half, can i report it",damaged_card,report_lost_card,0.33
how do i replace a damaged card,damaged_card,damaged_card,0.446
i accidentally put my credit card in the shredder,damaged_card,report_lost_card,0.591
i need to report that my dog chewed up my card,damaged_card,report_lost_card,0.365
who should i talk to about the fact that i inadvertently split my card almost in half,damaged_card,report_lost_card,0.378
i damaged the card; can you replace the card,damaged_card,report_lost_card,0.409
i ruined my card when it got washed,damaged_card,damaged_card,0.352
my card doesn't work anymore,damaged_card,damaged_card,3.121
i can't use my card because it’s messed up,damaged_card,damaged_card,0.33
my credit card got torn and i need a new one,damaged_card,new_card,0.495
my card is too scratched up and i need to report it,damaged_card,report_lost_card,0.375
my visa has been damaged,damaged_card,damaged_card,0.351
my card got melted and i need to report it,damaged_card,report_lost_card,0.365
my card is damaged and no longer function,damaged_card,damaged_card,0.353
my card has a burn on it,damaged_card,damaged_card,0.367
my card was in my pocket and bent,damaged_card,damaged_card,0.381
the plastic numbers on my card are falling off,damaged_card,damaged_card,0.389
report the card has been damaged,damaged_card,report_damaged_card,0.363
my dog swallowed my credit card and i need a new one,damaged_card,report_lost_card,0.337
i can't use my card because it’s damaged badly,damaged_card,damaged_card,0.327
"when my house burned down, so did my card",damaged_card,report_lost_card,0.366
what do i do with a damaged credit card,damaged_card,damaged_card,0.361
my card became damaged when i dropped it in the parking lot and it got ran over,damaged_card,damaged_card,0.37
my credit card snapped in half while i was fiddling with it,damaged_card,report_lost_card,0.348
my card has been erased and i need to report it,damaged_card,report_lost_card,0.361
my card fell in the toilet and now the chip does not work,damaged_card,damaged_card,0.375
can you tell me today's date,date,date,4.716
what's the day of the week,date,date,0.402
would you please tell me today's date,date,date,0.683
which day is it now,date,date,0.33
what will the date be in 10 days,date,date,0.336
"in 4 days, what date will it be",date,date,0.345
tell me the date 5 days from now,date,date,0.33
tell me what the date is tomorrow,date,date,0.361
give me the date,date,date,0.34
what date will it be 6 days from now,date,date,3.339
"what is today's month, day and year",date,date,1.641
please tell me what date it is today,date,date,3.398
today is what day of the week,date,date,0.331
can you tell me the date,date,date,0.322
i would like to get today's date,date,date,0.324
please share today's date,date,date,0.359
tell me what tomorrow's date is,date,date,0.329
what will tomorrow be on the calendar,date,calendar,3.214
i would like to know what today's date is,date,date,0.337
what is the date in 5 days,date,date,4.702
i need to know what the date is today,date,date,0.336
"tomorrow, what will the date be",date,date,0.329
i need to know today's date,date,date,0.396
what day will it be in fourteen days,date,date,0.327
please tell me what today is,date,date,0.721
what is tomorrow's date,date,date,0.333
what will the date be 100 days from now,date,date,0.342
what is the day now,date,date,0.364
i'd like to know what the date is,date,date,0.343
what is the current date,date,date,0.324
what's the definition of remunerative,definition,definition,0.386
what is the meaning of the word lux,definition,definition,0.33
can you tell me the meaning of fluctuate,definition,definition,0.323
what does mature mean,definition,definition,0.367
please define institutional racism,definition,definition,0.337
flange means what,definition,definition,0.369
what does ataraxy mean,definition,definition,0.337
may i please have a definition for the work churlish,definition,definition,0.352
please explain the word catastrophic to me,definition,definition,0.332
define ataraxy,definition,definition,0.344
what is the meaning of stupendous,definition,definition,0.335
what does saffron mean,definition,definition,0.33
tell me what the word arboreal means,definition,definition,0.36
what is the definition of the word migrate,definition,definition,0.329
i want to know what the word discomfit means,definition,definition,0.359
define zesty,definition,definition,0.393
i'd like to know what bitcoin means,definition,definition,0.379
find out what the word abrogate means for me,definition,definition,0.337
what does zesty mean,definition,definition,0.339
can you tell me the definition of yttrbium,definition,definition,0.382
what is the definiton of auspicious,definition,definition,0.344
what is the meaning of telepathy,definition,definition,0.324
what is the meaning of incandescent,definition,definition,1.747
definition of affiliate is what,definition,definition,0.347
what is the meaning of realism,definition,definition,0.351
what does altruism mean,definition,definition,3.399
i need to know what dominate means,definition,definition,0.394
what is the definition of didactic,definition,definition,3.641
tell me the meaning of condemnation,definition,definition,0.357
what does the word polynomial mean,definition,definition,0.344
chase account direct deposit options,direct_deposit,direct_deposit,3.331
how do i go about setting up paycheck direct deposit,direct_deposit,direct_deposit,0.365
how do i set up direct deposit for my cefcu account,direct_deposit,direct_deposit,0.406
i'd really like to set up a direct deposit for my paycheck,direct_deposit,direct_deposit,3.168
could you tell me how to set up direct deposit for my check from work at nations bank,direct_deposit,direct_deposit,3.582
i want to set up direct deposit to my first hawaiian bank account,direct_deposit,direct_deposit,0.364
how do i go about setting up direct deposit,direct_deposit,direct_deposit,0.355
i need a direct deposit,direct_deposit,direct_deposit,0.369
i'd like direct deposit to my chase bank account,direct_deposit,direct_deposit,0.367
does my td ameritrade checking account take direct deposit,direct_deposit,direct_deposit,0.356
please show me how to set up my paycheck for direct deposit to my chase account,direct_deposit,direct_deposit,6.313
how do i get my paycheck into direct deposit at nations bank,direct_deposit,direct_deposit,0.351
"if i would like to set up direct deposit, how do i do it",direct_deposit,direct_deposit,3.598
i have a great western bank account i want direct deposits to go to,direct_deposit,direct_deposit,0.36
how do i set up a direct deposit for my paycheck,direct_deposit,direct_deposit,0.385
i need to set up a direct deposit,direct_deposit,direct_deposit,0.381
how do i set up direct deposit for my bank of america account,direct_deposit,direct_deposit,3.597
tell me how to set up direct deposit for my paycheck,direct_deposit,direct_deposit,0.365
can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account,direct_deposit,direct_deposit,0.543
how do i set up direct deposit for my first national account,direct_deposit,direct_deposit,0.386
if i want to direct deposit my check into my nations bank account how do i do that,direct_deposit,direct_deposit,0.365
i'd like to set up direct deposit,direct_deposit,direct_deposit,0.357
activate direct deposit to chase account,direct_deposit,direct_deposit,0.373
what is needed for setting up direct deposit,direct_deposit,direct_deposit,0.365
what do i do to have my paycheck deposited directly in my account,direct_deposit,direct_deposit,0.359
can you show me how to set up direct deposit,direct_deposit,direct_deposit,0.343
how do i set up direct deposit,direct_deposit,direct_deposit,0.352
i want to set up direct deposit to my charles schwab account,direct_deposit,direct_deposit,0.365
direct deposit,direct_deposit,direct_deposit,0.373
would you help me set up direct deposit,direct_deposit,direct_deposit,0.381
i must understand the nearest gas station to glendale,directions,directions,0.342
how do i get to the hotel by bus,directions,directions,0.35
how do i get to the park on foot,directions,directions,0.341
how do i get to the nearest post office,directions,directions,0.41
does the bus go to the washington monument,directions,directions,0.346
how do i get to the movie theater by bus,directions,directions,0.356
which hospital is nearest to me,directions,current_location,0.337
how would i get to city hall via bus,directions,directions,0.356
where can i find the nearest dollar store,directions,directions,0.368
where is the nearest circuit city,directions,directions,0.359
find the closest cvs near galleria mall,directions,directions,0.335
find me starbucks,directions,restaurant_suggestion,0.363
where is the closest gas station to glendale,directions,directions,3.518
how do i get to the beach by bus,directions,directions,0.355
how do i get to the closest starbucks,directions,directions,3.48
where is the nearest movie theater to time' square,directions,directions,0.334
let me know the nearest gas station to glendale,directions,directions,3.301
how do i get to the grocery store by bus,directions,directions,0.351
please tell me the subway station nearest to madison square garden in new york,directions,directions,0.354
where is the nearest k mart,directions,directions,0.365
what's the quickest way to a bank,directions,directions,0.357
"i am on main street now, where is the closest bus stop to me",directions,directions,0.349
where is the nearest walmart,directions,directions,3.105
where is the nearest marijuana dispensary to kentucky fried chicken,directions,directions,0.332
how do i get to the statue of liberty on foot,directions,directions,0.34
how can i travel by bus to the grand canyon,directions,directions,3.344
where is the closest pharmacy,directions,directions,0.336
i must know the closest gas station to glendale,directions,directions,0.366
how do i get to san fransisco by bus,directions,directions,0.352
where is the closet bus stop to go to downtown dallas,directions,directions,0.327
how many minutes will it take to get to the empire state building in manhattan,distance,traffic,0.408
how long is the drive from sfo to fisherman's wharf,distance,distance,0.327
"so to go to brooklyn, it would take me how long again",distance,travel_suggestion,0.342
how long is the ride to phoenix,distance,distance,0.326
what's the eta for grandma's house,distance,directions,0.401
how long does it take to get downtown by bus,distance,traffic,0.351
how long will it take to walk to the safeway in the strip mall,distance,distance,0.335
how much time to reach doctors office,distance,directions,0.333
how long will it take to get to tacoma,distance,travel_suggestion,0.353
how long will it take to drive to the kroger in westwood,distance,directions,0.332
what time will i get to the beach taking the bus,distance,travel_suggestion,0.351
what is the average time to get to walmart in mays landing,distance,traffic,0.33
how long will i be on the bus to new orleans,distance,traffic,3.397
what time will we arrive at the bank,distance,time,0.312
how long will it take for me to get to the gas station,distance,directions,0.328
"how long before i get to dallas , in time, not miles",distance,travel_suggestion,0.335
what is the average time it takes to get to target in los angeles,distance,traffic,0.333
tell me how much longer i will have to drive to reach the destination,distance,directions,0.343
when will i arrive at hy-vee,distance,directions,0.329
what is the length of time it takes to get to phoenix,distance,travel_suggestion,0.349
how much time will pass between the start and end of our sojourn by bus to detroit,distance,time,0.321
how long can i expect a bus ride to the liberty bell to take,distance,travel_suggestion,3.321
do i have a ways to go or am i close to getting to penn station,distance,directions,0.367
how long until i reach my destination,distance,travel_suggestion,0.345
how long does it take to get to spago's in los angeles,distance,directions,0.334
am i close to arriving at the post office,distance,directions,0.355
how long does it take to get to el paso on a bus,distance,travel_suggestion,0.747
"by bus, how long would it take to get to detroit",distance,travel_suggestion,0.35
how long is a bus ride to staples,distance,traffic,0.337
how miles does it take to get to red lobster from my current location,distance,distance,0.322
i need to know what kinds of pets you have,do_you_have_pets,do_you_have_pets,0.365
you have what types or kinds of pets,do_you_have_pets,do_you_have_pets,0.354
do you have a pet,do_you_have_pets,do_you_have_pets,0.367
do you have animal companions,do_you_have_pets,do_you_have_pets,0.406
can you tell me the types of pets you have,do_you_have_pets,do_you_have_pets,0.35
what kinds of pets do you own,do_you_have_pets,do_you_have_pets,0.357
share some information about your pets with me,do_you_have_pets,do_you_have_pets,0.36
"on pets, what kind do you have",do_you_have_pets,do_you_have_pets,0.382
do you like cats or dogs more,do_you_have_pets,do_you_have_pets,0.422
why types of animals do you currently have as pets,do_you_have_pets,do_you_have_pets,0.368
are you a pet owner,do_you_have_pets,do_you_have_pets,1.107
what are all your pets,do_you_have_pets,do_you_have_pets,0.453
what type of animal is living in your home,do_you_have_pets,do_you_have_pets,0.74
please tell me the types of pets you have,do_you_have_pets,do_you_have_pets,0.362
what creatures do you keep for love,do_you_have_pets,do_you_have_pets,3.203
do you posses any types of pets,do_you_have_pets,do_you_have_pets,0.405
do you own pets,do_you_have_pets,do_you_have_pets,0.363
tell me whether you are a cat or dog person,do_you_have_pets,do_you_have_pets,3.571
what sorts of pets do you own,do_you_have_pets,do_you_have_pets,0.369
do you prefer cats or dogs more,do_you_have_pets,do_you_have_pets,3.181
can you name the type of pets you have,do_you_have_pets,do_you_have_pets,0.561
what animals await you at home,do_you_have_pets,do_you_have_pets,0.372
do you have any pets and what kind,do_you_have_pets,do_you_have_pets,3.326
kind of what pets do you have,do_you_have_pets,do_you_have_pets,0.361
how old are your pets,do_you_have_pets,do_you_have_pets,0.36
the pets are all good,do_you_have_pets,do_you_have_pets,0.422
how many different pets do you have,do_you_have_pets,do_you_have_pets,0.363
what type of pet is in your home,do_you_have_pets,do_you_have_pets,0.389
which type of pets do you have,do_you_have_pets,do_you_have_pets,3.162
would you tell me what kind of pets you have,do_you_have_pets,do_you_have_pets,0.351
i would love to know the exchange rate between rubles and pounds,exchange_rate,exchange_rate,3.375
what is the exchange rate between us dollars and japanese yen,exchange_rate,exchange_rate,0.335
look up the exchange rate between dollars and euros,exchange_rate,exchange_rate,3.444
can you please convert $30 usd to canadian dollars,exchange_rate,exchange_rate,0.336
what is the exchange rate between british pounds and yen,exchange_rate,exchange_rate,0.339
i wanna know five dollars in yen and rubles,exchange_rate,exchange_rate,0.324
how many dollars can i exchange for 10 yen,exchange_rate,exchange_rate,0.378
what's the exhange rate between mxn and gbp,exchange_rate,exchange_rate,0.363
whats euros kroner in 25,exchange_rate,exchange_rate,0.445
how many us dollars can i get for 20 euros,exchange_rate,exchange_rate,0.335
how much is the exchange between usd and euros,exchange_rate,exchange_rate,0.35
what is the rate for 500 cad in usd,exchange_rate,exchange_rate,0.446
how many dollars can i exchange for 200 pounds,exchange_rate,exchange_rate,0.334
what is the exchange rate in pesos for 100 dollars,exchange_rate,exchange_rate,0.423
how much is usd vs cad,exchange_rate,exchange_rate,0.336
how much is 10 us dollars in canadian dollars,exchange_rate,exchange_rate,0.344
can you tell me what 100 british pounds equals in us dollars,exchange_rate,exchange_rate,0.342
look up the rate of exchange between pesos and usd,exchange_rate,exchange_rate,0.414
what is 56 dollars in yen,exchange_rate,exchange_rate,0.353
how many pesos equals 500 dollars,exchange_rate,exchange_rate,0.392
how much is one us dollar in british pounds,exchange_rate,exchange_rate,0.365
what's the difference between usd and cad,exchange_rate,exchange_rate,0.365
if the dollar worth a lot in country b,exchange_rate,exchange_rate,0.507
what is the quantity of dollars i receive for trading 6 yens,exchange_rate,exchange_rate,0.378
how many mexican pesos is a us dollar worth,exchange_rate,exchange_rate,0.337
what is the maximum dollars i can get for 6 yens,exchange_rate,exchange_rate,0.454
what is one dollar worth in mexico,exchange_rate,exchange_rate,0.335
what's the conversion rate of 100 dollars to euros,exchange_rate,exchange_rate,0.339
what is the current exchange rate between mxn and eur,exchange_rate,exchange_rate,0.385
"in canadian dollars, what is $30",exchange_rate,exchange_rate,0.378
tell me the expiration date on my credit card,expiration_date,expiration_date,0.379
how much time do i have before my credit card expires,expiration_date,expiration_date,0.361
when is the expiration month for my card,expiration_date,expiration_date,0.417
can you tell me what the date of expiry for my visa card is,expiration_date,expiration_date,0.317
how long until my mastercard expires,expiration_date,expiration_date,0.489
when it my citi card expired,expiration_date,expiration_date,0.346
tell me when my credit card from visa expires please,expiration_date,expiration_date,0.432
in what month does my credit card expire,expiration_date,expiration_date,0.361
what is the expiration date of my current card,expiration_date,expiration_date,0.475
help me figure out when exactly my credit card will be expiring,expiration_date,expiration_date,0.348
what month is my card expired in,expiration_date,expiration_date,0.347
which month is the one in which my card expires,expiration_date,expiration_date,0.349
when is my credit card set to expire,expiration_date,expiration_date,0.43
tell me the expiry date of my credit card,expiration_date,expiration_date,0.318
what month does my card close,expiration_date,bill_due,0.346
what is my expiration data for my card,expiration_date,expiration_date,0.355
can you find out for me when my credit card will be expiring,expiration_date,expiration_date,0.356
"when does my card expire, the one ending in 1234",expiration_date,expiration_date,0.517
how long is it until my credit card expires,expiration_date,expiration_date,0.377
when is the date of expiration for my first bank card,expiration_date,expiration_date,0.361
give me my credit card expiration date,expiration_date,expiration_date,0.369
when does my discover card expire,expiration_date,expiration_date,0.37
tell me the expiration date for my current credit card,expiration_date,expiration_date,3.445
will my debit card go bad any time soon,expiration_date,expiration_date,0.333
show me the expiration date for my visa card,expiration_date,expiration_date,0.337
tell me the expiration date for my visa card,expiration_date,expiration_date,3.66
"i want to bring my card on the texas trip in june, will it be expired by then",expiration_date,expiration_date,0.351
when will my citi card expire,expiration_date,expiration_date,0.357
what month does my credit card expire,expiration_date,expiration_date,0.35
tell me the month that my credit card will expire,expiration_date,expiration_date,3.328
i can't find my phone do you know where it is,find_phone,find_phone,0.445
i need you to find my phone,find_phone,find_phone,0.319
where is my phone now,find_phone,find_phone,3.123
can you assist me with finding my phone,find_phone,find_phone,0.355
look for my phone with me,find_phone,find_phone,0.53
"i need my phone, but can't find it",find_phone,find_phone,0.333
track down my phone for me,find_phone,find_phone,0.337
help me find my phone please,find_phone,find_phone,0.33
do you remember where i left my cellphone,find_phone,find_phone,0.371
would you know where to find my phone,find_phone,find_phone,0.412
please locate my phone,find_phone,find_phone,0.399
where was the last place i had my phone,find_phone,find_phone,0.429
can you find me my phone,find_phone,find_phone,3.599
my phone is lost - can you help me find it,find_phone,find_phone,0.332
where did i put my phone,find_phone,find_phone,0.303
i need help finding my mobile phone,find_phone,find_phone,0.36
have you seen my cellphone,find_phone,find_phone,1.607
i lost my phone and need help retrieving it,find_phone,find_phone,0.352
tell me where my phone is,find_phone,find_phone,0.359
please help me in finding my phone,find_phone,find_phone,0.364
"i cannot locate my phone, can you help me",find_phone,find_phone,3.25
could you help me locate my phone,find_phone,find_phone,0.325
where's my phone at,find_phone,find_phone,0.452
can you tell me where my phone is,find_phone,find_phone,0.328
i need help locating my phone,find_phone,find_phone,0.334
where did i place my phone,find_phone,find_phone,0.352
i have lost my phone,find_phone,find_phone,0.34
my phone cannot be found,find_phone,find_phone,0.35
what's my phone's location,find_phone,find_phone,1.952
what happened to my cellphone,find_phone,find_phone,0.357
can you update me with the status of flight dl123,flight_status,flight_status,0.335
tell me the status of my american airlines flight,flight_status,flight_status,0.325
when is boarding scheduled for my flight,flight_status,flight_status,0.329
what's the status of my southwest flight,flight_status,flight_status,0.325
is flight dl123 delayed,flight_status,flight_status,0.324
has flight dl123 left,flight_status,flight_status,0.328
whats the status of my delta flight,flight_status,flight_status,0.346
what time is boarding scheduled,flight_status,carry_on,0.347
so when is my flight landing,flight_status,flight_status,0.578
i wanna know when my flight scheduled to board,flight_status,flight_status,0.365
at what time is my flight scheduled to land,flight_status,flight_status,0.359
can you check when my flight lands,flight_status,flight_status,0.331
what time is my flight going to land,flight_status,flight_status,0.324
give me the status of flight dl123,flight_status,flight_status,0.422
what's the news with my delta flight,flight_status,flight_status,0.346
can you tell me what time this flight is going to land,flight_status,flight_status,0.351
will flight dl123 be on time,flight_status,flight_status,0.343
how long until delta is at the gate,flight_status,flight_status,0.447
when will my delta flight depart,flight_status,flight_status,0.341
could you tell me the status of flight dl123,flight_status,flight_status,0.432
at what point will this flight start letting people board,flight_status,carry_on,0.364
i would like to know flight dl123's status,flight_status,flight_status,0.399
what time does my flight board,flight_status,flight_status,3.463
what's the status for my delta flight this afternoon,flight_status,flight_status,0.321
when is my flight due to arrive,flight_status,flight_status,0.745
what is the boarding time for my upcoming flight,flight_status,flight_status,3.651
is there an update on flight dl123,flight_status,flight_status,0.333
what time will i be able to board the plane,flight_status,carry_on,3.567
i need to know the status of my alaska air flight,flight_status,flight_status,0.449
when is my plane scheduled to land,flight_status,flight_status,0.356
please flip the coin over ai,flip_coin,flip_coin,3.493
flip the coin,flip_coin,flip_coin,0.412
"flip that coin please, i choose heads",flip_coin,flip_coin,0.339
"flip a coin, i choose heads",flip_coin,flip_coin,3.55
spin a coin,flip_coin,flip_coin,0.346
please flip a coin for me,flip_coin,flip_coin,3.552
"ai, heads or tails",flip_coin,flip_coin,0.373
choose heads or tails and tell me what you came up with,flip_coin,flip_coin,0.348
i want you to flip a coin i choose heads,flip_coin,flip_coin,3.451
"flip a coin for me, with you calling heads",flip_coin,flip_coin,0.346
i need you to flip a coin,flip_coin,flip_coin,3.111
please flip a coin and tell me what side it lands on,flip_coin,flip_coin,0.346
"heads, coin flip",flip_coin,flip_coin,0.329
i'm wanting you to flip a coin,flip_coin,flip_coin,3.461
please flip a coin - i call heads,flip_coin,flip_coin,0.365
heads or tails please,flip_coin,flip_coin,3.446
flip a coin heads or tails,flip_coin,flip_coin,0.429
"flip a coin, i call heads!",flip_coin,flip_coin,0.351
give me the results of a coin flip,flip_coin,flip_coin,0.465
"ai, coin flip",flip_coin,flip_coin,0.479
"please flip a coin for me, tails i win",flip_coin,flip_coin,0.432
can you flip a coin i pick heads,flip_coin,flip_coin,0.418
can you do a coin flip,flip_coin,flip_coin,0.346
"i choose heads, now flip that coin",flip_coin,flip_coin,0.344
i call tails and you call heads on this coin flip i need you to do,flip_coin,flip_coin,0.347
i want a coin flip,flip_coin,flip_coin,0.461
flip a quarter,flip_coin,flip_coin,0.338
"flip a coin, heads",flip_coin,flip_coin,0.356
i need to do a fair coin flip,flip_coin,flip_coin,0.421
will you get a coin and flip it,flip_coin,flip_coin,0.613
after 3 days in the fridge is rice safe to eat,food_last,food_last,0.334
milk will go bad in my fridge when,food_last,food_last,0.333
how long are eggs good for,food_last,food_last,0.321
can i keep rice in the fridge for 3 days,food_last,food_last,0.335
how long can i keep avocados in the fridge before they go bad,food_last,food_last,0.347
tell me when the milk will expire,food_last,expiration_date,0.672
how long does it take for dough in the freezer to go off,food_last,cook_time,0.377
what is the expiration date of my milk,food_last,expiration_date,0.389
what is the expiration date of the milk,food_last,expiration_date,0.338
how long can i keep pork in the freezer for before it gets freezer burnt,food_last,food_last,0.337
when is the milk date before used,food_last,expiration_date,0.564
how much time do i have to keep tofu in the freezer before it goes bad,food_last,food_last,0.334
the milk will expire when,food_last,expiration_date,0.351
"i have had pizza in the fridge since monday, so is it safe to eat",food_last,food_last,3.367
what is expire of milk,food_last,expiration_date,0.354
cut cucumbers can stay in the fridge for how long before spoiling,food_last,cook_time,4.85
when will my milk be no good,food_last,food_last,3.417
how long until pork spoils in the fridge,food_last,food_last,0.336
how long does it take frozen steaks to go bad,food_last,food_last,0.328
is my milk safe to drink after being in the refrigerator for a week,food_last,food_last,0.359
i wanna know how long can i keep pizza in the freezer for before it goes bad,food_last,food_last,3.305
how long can i expect to keep steak in the freezer,food_last,food_last,1.779
how long does it take milk to expire,food_last,expiration_date,0.435
when does pork go bad in the fridge,food_last,food_last,0.423
is rice ok after 3 days in the refrigerator,food_last,food_last,0.354
what is the expiration date for honey,food_last,expiration_date,0.362
when do ribs expire,food_last,expiration_date,0.463
what is the most amount of time that is considered safe to store uncooked chicken in the fridge,food_last,cook_time,0.508
how long can i keep milk in the fridge,food_last,food_last,0.351
when does my milk expire,food_last,expiration_date,0.429
freeze my bank account,freeze_account,freeze_account,0.33
i need my bank account frozen,freeze_account,freeze_account,0.48
"can you put a stop on my bank account, please",freeze_account,freeze_account,0.467
i need you to block my mutualone account now,freeze_account,freeze_account,0.344
i want my account locked out,freeze_account,freeze_account,0.352
put a hold on my bank account please,freeze_account,freeze_account,0.423
would you freeze my bank account,freeze_account,freeze_account,3.57
"i need you to place a stop on my bank account, thank you",freeze_account,freeze_account,0.375
stop payments from my bank,freeze_account,freeze_account,0.339
i need a block placed right away on my joint checking account,freeze_account,freeze_account,3.213
put a stop on my deposit account,freeze_account,freeze_account,0.342
i want my bank account frozen,freeze_account,freeze_account,0.413
i'd like my account frozen,freeze_account,freeze_account,0.354
please put a block on my citi account immediately,freeze_account,freeze_account,0.362
please put a block on my regions account immediately,freeze_account,freeze_account,0.337
can you block my chase account right away please,freeze_account,freeze_account,3.616
put a freeze on my account,freeze_account,freeze_account,0.389
place a hold on my chase money market market account at once,freeze_account,freeze_account,0.345
i need to lock my account right now!,freeze_account,freeze_account,3.541
please put a block on my capital one account immediately,freeze_account,freeze_account,0.463
please put a block on my wells fargo account immediately,freeze_account,freeze_account,0.358
please put a stop on my bank account,freeze_account,freeze_account,0.389
is it too much trouble to put a stop on my bank account,freeze_account,freeze_account,0.343
i would appreciate it if you put a stop on my bank account,freeze_account,freeze_account,0.357
please do a stop on my bank account,freeze_account,freeze_account,0.359
please put my account on hold,freeze_account,freeze_account,0.343
could you put a stop on my bank account,freeze_account,freeze_account,0.448
i need a stop placed on my bank account please,freeze_account,freeze_account,0.423
do you mind putting a stop on my bank account,freeze_account,freeze_account,0.39
i am hoping you can put a stop on my bank account,freeze_account,freeze_account,6.536
tell me something interesting about bees,fun_fact,fun_fact,0.34
tell me a fact,fun_fact,fun_fact,0.377
tell me an axolotl fact,fun_fact,fun_fact,0.347
what is the most unique piece of trivia relating to cameras,fun_fact,fun_fact,0.336
what's an interesting fact about flamingos,fun_fact,fun_fact,0.416
